datetime_utc,portfolio,symbol,action,qty,price_exec,slippage_bps,liquidity_impact_bps,fees,gross_amount,post_trade_cash,post_trade_position,signal_snapshot,rationale,run_id
2025-11-07T17:14:47.745330+00:00,portfolio_max_autotrader,QUBT,SELL,10.0,11.663325,10.0,0.0,0.0,116.63,3391.55,33.39,"{""TS"":-0.640911,""NS"":0.069912,""CDS"":-0.356581,""wT"":0.6,""wN"":0.4}",score<sell,19175682122
2025-11-07T17:14:47.745470+00:00,portfolio_max_autotrader,RGTI,SELL,1.0,30.67929,10.0,0.0,0.0,30.68,3422.23,6.17,"{""TS"":-0.578272,""NS"":0.080492,""CDS"":-0.314766,""wT"":0.6,""wN"":0.4}",score<sell,19175682122
2025-11-07T17:14:47.745604+00:00,portfolio_max_autotrader,RKLB,SELL,1.0,46.48347,10.0,0.0,0.0,46.48,3468.71,4.27,"{""TS"":-0.677069,""NS"":0.051536,""CDS"":-0.385627,""wT"":0.6,""wN"":0.4}",score<sell,19175682122
2025-11-07T17:14:47.745736+00:00,portfolio_max_autotrader,ILMN,BUY,3.5107,120.255135,10.0,0.0,0.0,-422.18,3046.53,3.5107,"{""TS"":0.586236,""NS"":0.413383,""CDS"":0.517095,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.745870+00:00,portfolio_max_autotrader,ICLN,BUY,24.4568,17.262245,10.0,0.0,0.0,-422.18,2624.35,24.4568,"{""TS"":0.453035,""NS"":0.564672,""CDS"":0.49769,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.746028+00:00,portfolio_max_autotrader,GOOGL,BUY,1.5298,275.96569,10.0,0.0,0.0,-422.17,2202.18,3.5432,"{""TS"":0.479639,""NS"":0.405822,""CDS"":0.450112,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.746168+00:00,portfolio_max_autotrader,BE,BUY,3.3466,126.151025,10.0,0.0,0.0,-422.18,1780.0,3.3466,"{""TS"":0.467333,""NS"":0.414775,""CDS"":0.44631,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.746298+00:00,portfolio_max_autotrader,DOCN,BUY,9.0177,46.81677,10.0,0.0,0.0,-422.18,1357.82,9.0177,"{""TS"":0.602087,""NS"":0.210734,""CDS"":0.445546,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.746426+00:00,portfolio_max_autotrader,BIIB,BUY,0.0001,153.908755,10.0,0.0,0.0,-0.02,1357.81,0.0001,"{""TS"":0.495982,""NS"":0.331591,""CDS"":0.430226,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.749693+00:00,portfolio_paper_reasonable,ILMN,BUY,4.9097,120.255135,10.0,0.0,0.0,-590.42,7400.28,4.9097,"{""TS"":0.586236,""NS"":0.413383,""CDS"":0.517095,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
